zone,geometry,sum_Hourly Flow_100m_radius
0,"POLYGON ((358824.80146496504 166757.14983150433, 358892.3231651378 166778.08926774707, 358948.81073836173 166726.84387934906, 358947.4566895918 166717.9851564539, 358897.5073897587 166745.07151186245, 358917.25274183694 166682.71498081274, 358870.61436658545 166638.89930176386, 358816.81721617247 166704.91629325162, 358824.80146496504 166757.14983150433))",0
1,"POLYGON ((358689.7561780965 166715.2703769132, 358700.7907565518 166787.4561467478, 358768.31342616916 166808.3955593232, 358824.80146496504 166757.14983150433, 358816.81721617247 166704.91629325162, 358806.1673602906 166717.9855010386, 358766.8526359466 166685.56879602495, 358707.0004877578 166699.62628811004, 358689.7561780965 166715.2703769132))",0
2,"POLYGON ((359027.364678957 166819.9675581411, 359016.33146908507 166747.7833392606, 358948.81073836173 166726.84387934906, 358892.3231651378 166778.08926774707, 358903.3568788762 166850.27380237193, 358970.87766196654 166871.212632853, 359027.364678957 166819.9675581411))",0
3,"POLYGON ((358903.3568788762 166850.27380237193, 358892.3231651378 166778.08926774707, 358824.80146496504 166757.14983150433, 358768.31342616916 166808.3955593232, 358779.347643795 166880.58040968672, 358846.8693963245 166901.51921649056, 358903.3568788762 166850.27380237193))",0
4,"POLYGON ((358779.347643795 166880.58040968672, 358768.31342616916 166808.3955593232, 358700.7907565518 166787.4561467478, 358644.30225220916 166838.7022139826, 358655.3369737418 166910.88738009054, 358722.85969570547 166931.82616321568, 358779.347643795 166880.58040968672))",0
5,"POLYGON ((358981.9110148493 166943.39624801883, 358970.87766196654 166871.212632853, 358903.3568788762 166850.27380237193, 358846.8693963245 166901.51921649056, 358857.9032531012 166973.7031473788, 358925.4240885317 166994.6413484203, 358981.9110148493 166943.39624801883))",0
6,"POLYGON ((358857.9032531012 166973.7031473788, 358846.8693963245 166901.51921649056, 358779.347643795 166880.58040968672, 358722.85969570547 166931.82616321568, 358733.89405639685 167004.01040982705, 358801.4158612578 167024.94858718064, 358857.9032531012 166973.7031473788))",0
7,"POLYGON ((358936.4575844406 167066.8243598183, 358925.4240885317 166994.6413484203, 358857.9032531012 166973.7031473788, 358801.4158612578 167024.94858718064, 358812.4498610868 167097.13191428123, 358879.97074883373 167118.06948587392, 358936.4575844406 167066.8243598183))",0
8,"POLYGON ((358812.4498610868 167097.13191428123, 358801.4158612578 167024.94858718064, 358733.89405639685 167004.01040982705, 358677.4061990524 167055.2561890264, 358688.4407028228 167127.43983182817, 358755.9625599899 167148.37737972446, 358812.4498610868 167097.13191428123))",0
9,"POLYGON ((359015.0106377795 167159.94404700596, 359003.97750275955 167087.76195510873, 358936.4575844406 167066.8243598183, 358879.97074883373 167118.06948587392, 358891.0043877806 167190.25189345673, 358958.52435840125 167211.1888592955, 359015.0106377795 167159.94404700596))",0
10,"POLYGON ((358576.7786131538 166817.7628250816, 358644.30225220916 166838.7022139826, 358700.7907565518 166787.4561467478, 358689.7561780965 166715.2703769132, 358668.4833041792 166708.6732430216, 358651.3629707512 166712.694587873, 358571.75180538814 166784.87967959727, 358576.7786131538 166817.7628250816))",0
11,"POLYGON ((358598.8485601412 166962.13347303186, 358655.3369737418 166910.88738009054, 358644.30225220916 166838.7022139826, 358576.7786131538 166817.7628250816, 358535.9752174577 166854.77921901515, 358555.8751364203 166948.8075055466, 358598.8485601412 166962.13347303186))",0
12,"POLYGON ((358733.89405639685 167004.01040982705, 358722.85969570547 166931.82616321568, 358655.3369737418 166910.88738009054, 358598.8485601412 166962.13347303186, 358609.88342476665 167034.31803536066, 358677.4061990524 167055.2561890264, 358733.89405639685 167004.01040982705))",0
