zone,geometry,animal_score,human_score,contains_cluster,nearest_cluster,cluster_score
0,"POLYGON ((358824.80146496504 166757.14983150433, 358892.3231651378 166778.08926774707, 358948.81073836173 166726.84387934906, 358947.4566895918 166717.9851564539, 358897.5073897587 166745.07151186245, 358917.25274183694 166682.71498081274, 358870.61436658545 166638.89930176386, 358816.81721617247 166704.91629325162, 358824.80146496504 166757.14983150433))",0.4314303368426373,0.40402247638104377,0.0,13.0,0.6344971440978423
1,"POLYGON ((358689.7561780965 166715.2703769132, 358700.7907565518 166787.4561467478, 358768.31342616916 166808.3955593232, 358824.80146496504 166757.14983150433, 358816.81721617247 166704.91629325162, 358806.1673602906 166717.9855010386, 358766.8526359466 166685.56879602495, 358707.0004877578 166699.62628811004, 358689.7561780965 166715.2703769132))",0.4237255531412444,0.4150966983855352,0.0,13.0,0.6344971440978423
2,"POLYGON ((359027.364678957 166819.9675581411, 359016.33146908507 166747.7833392606, 358948.81073836173 166726.84387934906, 358892.3231651378 166778.08926774707, 358903.3568788762 166850.27380237193, 358970.87766196654 166871.212632853, 359027.364678957 166819.9675581411))",0.4194238391653067,0.4158682227628466,0.0,13.0,0.6344971440978423
3,"POLYGON ((358903.3568788762 166850.27380237193, 358892.3231651378 166778.08926774707, 358824.80146496504 166757.14983150433, 358768.31342616916 166808.3955593232, 358779.347643795 166880.58040968672, 358846.8693963245 166901.51921649056, 358903.3568788762 166850.27380237193))",0.4106730437738944,0.4287756521515089,0.0,13.0,0.6344971440978423
4,"POLYGON ((358779.347643795 166880.58040968672, 358768.31342616916 166808.3955593232, 358700.7907565518 166787.4561467478, 358644.30225220916 166838.7022139826, 358655.3369737418 166910.88738009054, 358722.85969570547 166931.82616321568, 358779.347643795 166880.58040968672))",0.4033747340739156,0.4391557203058844,0.0,13.0,0.6344971440978423
5,"POLYGON ((358981.9110148493 166943.39624801883, 358970.87766196654 166871.212632853, 358903.3568788762 166850.27380237193, 358846.8693963245 166901.51921649056, 358857.9032531012 166973.7031473788, 358925.4240885317 166994.6413484203, 358981.9110148493 166943.39624801883))",0.39844772206577217,0.4406137141311675,0.0,13.0,0.6344971440978423
6,"POLYGON ((358857.9032531012 166973.7031473788, 358846.8693963245 166901.51921649056, 358779.347643795 166880.58040968672, 358722.85969570547 166931.82616321568, 358733.89405639685 167004.01040982705, 358801.4158612578 167024.94858718064, 358857.9032531012 166973.7031473788))",0.3885179045413886,0.4535286882989125,0.0,13.0,0.6344971440978423
7,"POLYGON ((358936.4575844406 167066.8243598183, 358925.4240885317 166994.6413484203, 358857.9032531012 166973.7031473788, 358801.4158612578 167024.94858718064, 358812.4498610868 167097.13191428123, 358879.97074883373 167118.06948587392, 358936.4575844406 167066.8243598183))",0.3760251552409338,0.4653198862863398,0.0,13.0,0.6344971440978423
8,"POLYGON ((358812.4498610868 167097.13191428123, 358801.4158612578 167024.94858718064, 358733.89405639685 167004.01040982705, 358677.4061990524 167055.2561890264, 358688.4407028228 167127.43983182817, 358755.9625599899 167148.37737972446, 358812.4498610868 167097.13191428123))",0.36799757397740784,0.4782815847978961,0.0,13.0,0.6344971440978423
9,"POLYGON ((359015.0106377795 167159.94404700596, 359003.97750275955 167087.76195510873, 358936.4575844406 167066.8243598183, 358879.97074883373 167118.06948587392, 358891.0043877806 167190.25189345673, 358958.52435840125 167211.1888592955, 359015.0106377795 167159.94404700596))",0.36455021443933,0.4701293648780095,0.0,13.0,0.6344971440978423
10,"POLYGON ((358576.7786131538 166817.7628250816, 358644.30225220916 166838.7022139826, 358700.7907565518 166787.4561467478, 358689.7561780965 166715.2703769132, 358668.4833041792 166708.6732430216, 358651.3629707512 166712.694587873, 358571.75180538814 166784.87967959727, 358576.7786131538 166817.7628250816))",0.42337612228383537,0.4231090299241074,0.0,13.0,0.6344971440978423
11,"POLYGON ((358598.8485601412 166962.13347303186, 358655.3369737418 166910.88738009054, 358644.30225220916 166838.7022139826, 358576.7786131538 166817.7628250816, 358535.9752174577 166854.77921901515, 358555.8751364203 166948.8075055466, 358598.8485601412 166962.13347303186))",0.3980659308367723,0.4461441739105502,0.0,13.0,0.6344971440978423
12,"POLYGON ((358733.89405639685 167004.01040982705, 358722.85969570547 166931.82616321568, 358655.3369737418 166910.88738009054, 358598.8485601412 166962.13347303186, 358609.88342476665 167034.31803536066, 358677.4061990524 167055.2561890264, 358733.89405639685 167004.01040982705))",0.3817283361715929,0.4632408285485478,0.0,13.0,0.6344971440978423
13,"POLYGON ((358474.83598966134 166992.44114594406, 358485.8713582404 167064.62602399458, 358553.39510194573 167085.56415396463, 358609.88342476665 167034.31803536066, 358598.8485601412 166962.13347303186, 358555.8751364203 166948.8075055466, 358559.4088304844 166965.5047712869, 358523.28268800204 166948.4904384612, 358474.83598966134 166992.44114594406))",0.3755341578833984,0.4674727463755146,0.0,13.0,0.6344971440978423
14,"POLYGON ((358485.8713582404 167064.62602399458, 358474.83598966134 166992.44114594406, 358407.3113288453 166971.50241018826, 358350.82198429835 167022.74918195867, 358361.85785685026 167094.93437572737, 358429.38256996975 167115.87248200108, 358485.8713582404 167064.62602399458))",0.3688638475896915,0.5284050763593195,0.0,13.0,0.6344971440978423
15,"POLYGON ((358688.4407028228 167127.43983182817, 358677.4061990524 167055.2561890264, 358609.88342476665 167034.31803536066, 358553.39510194573 167085.56415396463, 358564.43010967603 167157.74811246904, 358631.9529362602 167178.6856366633, 358688.4407028228 167127.43983182817))",0.3618610132106263,0.5548656504959509,0.0,13.0,0.6344971440978423
16,"POLYGON ((358564.43010967603 167157.74811246904, 358553.39510194573 167085.56415396463, 358485.8713582404 167064.62602399458, 358429.38256996975 167115.87248200108, 358440.41808168124 167188.05675620446, 358507.94187767524 167208.99425669742, 358564.43010967603 167157.74811246904))",0.35721932713831617,0.5513491287456496,0.0,13.0,0.6344971440978423
